id,type,name,creator,starring,year,rating,time,genres,country
70266110,Movie,Company of Heroes,,"Tom Sizemore, Chad Michael Collins, Vinnie Jones",2013,TV-MA,100 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States
81410784,Movie,SAS: Rise of the Black Swan,,"Sam Heughan, Ruby Rose, Andy Serkis",2021,TV-MA,125 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies",United Kingdom
81631722,Movie,Kingdom2: Far and Away,,"Kento Yamazaki, Ryo Yoshizawa, Kanna Hashimoto",2022,TV-14,134 min,"Military Movies ,Period Pieces ,Action & Adventure Movies",Japan
80098200,Movie,Spectral,,"James Badge Dale, Emily Mortimer, Bruce Greenwood",2016,TV-14,108 min,"Sci-Fi Movies ,Military Movies ,Action & Adventure Movies ",United States
81582615,Movie,Medieval,,"Ben Foster, Sophie Lowe, Matthew Goode",2022,TV-MA,126 min,"Military Movies ,Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies",Czech Republic
80993331,Movie,Hunter Killer,,"Gerard Butler, Gary Oldman, Common",2018,TV-MA,116 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
81067756,Movie,Dynasty Warriors,,"Wang Kai, Louis Koo, Han Geng",2021,TV-14,120 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies ",China
81166791,Movie,The Forgotten Battle,,"Gijs Blom, Jamie Flatters, Susan Radder",2021,TV-MA,127 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",Netherlands
80091138,Movie,Jarhead 3: The Siege,,"Scott Adkins, Charlie Weber, Dante Basco",2016,TV-MA,89 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States
81577427,Movie,Mat Kilau,,"Adi Putra, Beto Kusyairy, Fattah Amin",2022,TV-14,117 min,"Military Movies ,Drama Movies ,Period Pieces ,Action & Adventure Movies ,Social Issue Dramas",Malaysia
80118916,Movie,Sand Castle,,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill",2017,TV-MA,113 min,"Military Movies ,Drama Movies ,Independent Movies ,Movies Based on Real Life ,Action & Adventure Movies ",United States
70305907,Movie,Fury,,"Brad Pitt, Shia LaBeouf, Logan Lerman",2014,TV-MA,134 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States
81631030,Movie,Air Force The Movie: Danger Close,,"Aiman Hakim Ridza, Adi Putra, Nas-T",2022,TV-PG,103 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",Malaysia
80011706,Movie,The Admiral: Roaring Currents,,"Choi Min-sik, Ryu Seung-ryong, Cho Jin-woong",2014,TV-MA,109 min,"Military Movies ,Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies",South Korea
80190859,Movie,Outlaw King,,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh",2018,TV-MA,121 min,"Military Movies ,Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies ",United States
81204150,Movie,The Battle of Jangsari,,"Kim Myung-min, Choi Min-ho, Kim Sung-cheol",2019,TV-14,103 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",South Korea
70260990,Movie,The Last Supper,,"Liu Ye, Daniel Wu, Chang Chen",2012,TV-14,116 min,"Military Movies ,Drama Movies ,Period Pieces ,Action & Adventure Movies ",China
80041653,Movie,The Siege of Jadotville,,"Jamie Dornan, Guillaume Canet, Emmanuelle Seigner",2016,TV-MA,108 min,"Military Movies ,Drama Movies ,Movies Based on Books ,Movies Based on Real Life ,Action & Adventure Movies",Ireland
81242574,Movie,Major (Hindi),,"Adivi Sesh, Prakash Raj, Sobhita Dhulipala",2022,TV-14,145 min,"Military Movies ,Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies",India
81292944,Movie,Gunjan Saxena: The Kargil Girl,,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi",2020,TV-PG,112 min,"Bollywood Movies ,Military Movies ,Drama Movies ,Action & Adventure Movies ,Social Issue Dramas",India
81256747,Movie,Robbing Mussolini,,"Pietro Castellitto, Matilda De Angelis, Filippo Timi",2022,TV-MA,90 min,"Military Movies ,Crime Movies ,Drama Movies ,Action & Adventure Movies",Italy
81242575,Movie,Major (Telugu),,"Adivi Sesh, Prakash Raj, Sobhita Dhulipala",2022,TV-14,145 min,"Military Movies ,Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies ",India
81045635,Movie,Da 5 Bloods,,"Delroy Lindo, Jonathan Majors, Clarke Peters",2020,TV-MA,155 min,"Music ,Military Movies ,Drama Movies ,Action & Adventure Movies ",United States
70217912,Movie,Snow White & the Huntsman,,"Kristen Stewart, Chris Hemsworth, Charlize Theron",2012,TV-14,127 min,"Movies Based on Books ,Action & Adventure Movies ",United States
81002747,Movie,Spider-Man: Into the Spider-Verse,,"Shameik Moore, Jake Johnson, Hailee Steinfeld",2018,TV-PG,116 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70262639,Movie,World War Z,,"Brad Pitt, Mireille Enos, Daniella Kertesz",2013,TV-MA,117 min,"Sci-Fi Movies ,Horror Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
80164399,Movie,Transformers: The Last Knight,,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel",2017,TV-PG,155 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70208107,Movie,47 Ronin,,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki",2013,TV-14,118 min,Action & Adventure Movies,United States
81198933,Movie,Morbius,,"Jared Leto, Matt Smith, Adria Arjona",2022,TV-14,104 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70217908,Movie,Battleship,,"Taylor Kitsch, Alexander Skarsgård, Rihanna",2012,TV-PG,131 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
80005628,Movie,Teenage Mutant Ninja Turtles,,"Megan Fox, Will Arnett, William Fichtner",2014,TV-14,102 min,"Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies ",United States
81245455,Movie,Troll,,"Ine Marie Wilmann, Kim Falck, Mads Sjøgård Pettersen",2022,TV-PG,103 min,Action & Adventure Movies,Norway
80993105,Movie,Mowgli: Legend of the Jungle,,"Christian Bale, Cate Blanchett, Benedict Cumberbatch",2018,TV-PG,105 min,"Family Movies ,Drama Movies ,Movies Based on Books ,Action & Adventure Movies",United Kingdom
81520516,Movie,65,,"Adam Driver, Ariana Greenblatt, Chloe Coleman",2023,TV-14,92 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81002746,Movie,Mortal Engines,,"Hera Hilmar, Robert Sheehan, Hugo Weaving",2018,TV-PG,128 min,"Sci-Fi Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
